Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
94,Badwani,Anjad,Wheat,Lokwan,FAQ,2313,2325,2325,13 Jan 2020
95,Baran,Anta,Wheat,Other,FAQ,2081,2094,2087,02 Jan 2020
96,Guna,Aron,Wheat,Other,FAQ,1991,2525,2130,21 Jan 2020
97,Guna,Aron,Wheat,Other,FAQ,2151,2721,2215,10 Jan 2020
98,Paschim Bardhaman,Asansol,Wheat,Kalyan,FAQ,2060,2140,2100,23 Jan 2020
99,Ashoknagar,Ashoknagar,Wheat,Other,FAQ,2060,2365,2100,29 Jan 2020
100,Ashoknagar,Ashoknagar,Wheat,Other,FAQ,2160,2651,2340,13 Jan 2020
101,Banda,Atarra,Wheat,Dara,FAQ,1900,2000,1950,23 Jan 2020
102,Banda,Atarra,Wheat,Dara,FAQ,1920,2020,1970,22 Jan 2020
103,Banda,Atarra,Wheat,Dara,FAQ,1975,2075,2025,08 Jan 2020
104,Baran,Atru,Wheat,Other,FAQ,1818,2202,2010,04 Jan 2020
105,Baran,Atru,Wheat,Other,FAQ,1968,2124,2046,30 Jan 2020
106,Baran,Atru,Wheat,Other,FAQ,2200,2323,2261,09 Jan 2020
107,Azamgarh,Azamgarh,Wheat,Dara,FAQ,1940,1980,1960,29 Jan 2020
108,Banda,Baberu,Wheat,Dara,FAQ,1940,2100,2020,04 Jan 2020
109,Badaun,Babrala,Wheat,Dara,FAQ,1900,2000,1950,31 Jan 2020
110,Sehore,Ashta,Wheat,MP Sharbati,FAQ,2161,2938,2200,27 Jan 2020
111,Baran,Atru,Wheat,Other,FAQ,1872,2044,1958,27 Jan 2020
112,Baran,Atru,Wheat,Other,FAQ,2123,2255,2189,15 Jan 2020
113,Baran,Atru,Wheat,Other,FAQ,2150,2335,2242,10 Jan 2020
114,Auraiya,Auraiya,Wheat,Dara,FAQ,1900,2100,2010,27 Jan 2020
115,Auraiya,Auraiya,Wheat,Dara,FAQ,2000,2200,2110,07 Jan 2020
116,Azamgarh,Azamgarh,Wheat,Dara,FAQ,1925,1970,1955,04 Jan 2020
117,Azamgarh,Azamgarh,Wheat,Dara,FAQ,1925,1975,1955,20 Jan 2020
118,Banda,Baberu,Wheat,Dara,FAQ,1895,2045,1970,24 Jan 2020
119,Banda,Baberu,Wheat,Dara,FAQ,1950,2090,2020,17 Jan 2020
120,Badaun,Babrala,Wheat,Dara,FAQ,1900,2000,1950,24 Jan 2020
121,Badaun,Babrala,Wheat,Dara,FAQ,1900,2000,1950,25 Jan 2020
122,Badaun,Babrala,Wheat,Dara,FAQ,1900,2050,2000,12 Jan 2020
123,Badaun,Babrala,Wheat,Dara,FAQ,1950,2050,2000,07 Jan 2020
124,Badaun,Babrala,Wheat,Dara,FAQ,1950,2050,2000,09 Jan 2020
125,Raebarelli,Bachranwa,Wheat,Dara,FAQ,1895,1965,1930,03 Jan 2020
126,Raebarelli,Bachranwa,Wheat,Dara,FAQ,1905,1950,1930,17 Jan 2020
127,Chhatarpur,Badamalhera,Wheat,Other,FAQ,2000,2160,2100,18 Jan 2020
128,Badaun,Badayoun,Wheat,Local,FAQ,2040,2140,2090,22 Jan 2020
129,Shahjahanpur,Badda,Wheat,Dara,FAQ,1980,2100,2000,27 Jan 2020
130,Shajapur,Badod,Wheat,Other,FAQ,2316,2326,2321,04 Jan 2020
131,Khargone,Badwaha,Wheat,Lokwan,FAQ,2195,2326,2303,03 Jan 2020
132,Khargone,Badwaha,Wheat,Lokwan,FAQ,2201,2350,2248,13 Jan 2020
133,Amreli,Bagasara,Wheat,Lokwan Gujrat,FAQ,2150,2270,2210,17 Jan 2020
134,Amreli,Bagasara,Wheat,Lokwan Gujrat,FAQ,2200,2340,2270,25 Jan 2020
135,Bahraich,Bahraich,Wheat,Dara,FAQ,1880,2020,1950,31 Jan 2020
136,Bahraich,Bahraich,Wheat,Dara,FAQ,1900,1970,1940,04 Jan 2020
137,Bahraich,Bahraich,Wheat,Dara,FAQ,1900,1970,1950,14 Jan 2020
138,Bahraich,Bahraich,Wheat,Dara,FAQ,1910,1990,1970,18 Jan 2020
139,Bahraich,Bahraich,Wheat,Dara,FAQ,1925,1990,1970,20 Jan 2020
140,Rewa,Baikunthpur,Wheat,Dara Mill Quality,FAQ,2000,2000,2000,19 Jan 2020
141,Balrampur,Balrampur,Wheat,Dara,FAQ,1900,2000,1950,17 Jan 2020
142,Balrampur,Balrampur,Wheat,Dara,FAQ,1900,2000,1950,23 Jan 2020
143,Hoshangabad,Banapura,Wheat,Mill Quality,FAQ,2011,2369,2110,18 Jan 2020
144,Sagar,Banda,Wheat,147 Average,FAQ,1900,2100,2000,11 Jan 2020
145,Sagar,Banda,Wheat,147 Average,FAQ,2050,2106,2075,15 Jan 2020
146,Banda,Banda,Wheat,Dara,FAQ,1975,2070,2025,09 Jan 2020
147,Dausa,Bandikui,Wheat,Other,FAQ,2040,2056,2048,29 Jan 2020
148,Bangalore,Bangalore,Wheat,Local,FAQ,2500,3500,3000,07 Jan 2020
149,Bangalore,Bangalore,Wheat,Local,FAQ,2500,3500,3000,09 Jan 2020
150,Bangalore,Bangalore,Wheat,Local,FAQ,2500,3500,3000,16 Jan 2020
